title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128176727#/?channel=STU_LET,"Marlborough Road, Beeston, Nottingham, NG9","AT SANDSTONE WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM
Impressive Victorian property split over three floors, boasting spacious lounge with door to rear garden, fully fitted kitchen, 5 double bedroom, large bathroom, shower room and separate W.C",2275.0,525.0,27/07/2022,"Sandstone UK Property Management Solutions Ltd, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76434/128176727/76434_P1782_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
6 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128487668#/?channel=STU_LET,"Gregory Avenue, Lenton","Stunning 6 Bedroom Student House - recently renovated
Now Booking for 23/24 academic year, for £145 pp pw exc bills
*Bills inclusive option available for £22pppw
6 Bedrooms & 2 bathrooms 50 Week tenancy Starting Late August 2023
Contents Insurance and end of tenancy cleaning included",3770.0,870.0,yesterday,"FHP Living, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58394/128485895/58394_102431011618_IMG_00_0000_max_476x317.jpeg,6,house,"('52.9497913', '-1.1738748')",52.9497913,-1.1738748,,1694
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128487551#/?channel=STU_LET,"Addison Street, Nottingham",***Student 2023-2024*** 5 Bedroom student property located to Nottingham City Centre. The property is located close to Nottingham Trent university. Available July 2023 and bills included option available.,2492.0,575.0,yesterday,"Tristrams Student Lettings, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250334/128485829/250334_101457005268_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9632436', '-1.1551683')",52.9632436,-1.1551683,,1694
8 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128487551#/?channel=STU_LET,"Hamilton Drive, The Park, Nottingham, NG7 1DF","8 Bedroom Large Student Property available for August 2023!
£140 pppw excluding bills
(Bills inclusive package £20pppw available on request)
50 Week tenancy 3 bathrooms, Large open plan living room and kitchen Driveway parking and large garden Contents Insurance and end of tenancy cl...",4853.0,1120.0,yesterday,"FHP Living, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58394/128485589/58394_102431012654_IMG_00_0000_max_476x317.jpeg,8,house,"('52.94821635', '-1.1584582225349394')",52.94821635,-1.1584582225349394,,1694
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128486999#/?channel=STU_LET,"Alfreton Road, Nottingham",***Students 2023/2024***Five bedroom student accommodation located close to MTU and the Jubilee Campus. Available July 2023 and bills included. ,2600.0,600.0,yesterday,"Tristrams Student Lettings, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250334/128484950/250334_101457005221_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9563214', '-1.1624649')",52.9563214,-1.1624649,,1694
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128486999#/?channel=STU_LET,"Alfreton Road, Nottingham",***Student 2022-2023*** Five bedroom student accommodation located close to NTU and the Jubilee Campus. Available September.,1733.0,400.0,yesterday,"Tristrams Student Lettings, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250334/125409923/250334_101457005267_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9563214', '-1.1624649')",52.9563214,-1.1624649,,1694
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128370851#/?channel=STU_LET,"Brailsford Road, Dunkirk, Nottingham","Student house featuring five double bedrooms with ensuites, modern kitchen with american-style fridge-freezer and a separate living area. On-street parking available, very close to UON South Entrance. Perfect fo...",3467.0,800.0,yesterday,"Tomlinson Estate Management Limited, Lenton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95239/128484422/95239_983r_bi_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9391304', '-1.1820977')",52.9391304,-1.1820977,,1694
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128370851#/?channel=STU_LET,"Castle Mews, Lenton Avenue, The Park, Nottingham","**STUDENT 2023/2024** Excellent 4 bedroom student property on Castle Mews, Lenton Avenue. Rent inclusive of bills (gas, water, electricity, broadband & content insurance through Purple Pass). 3D Tour available upon request!",2791.0,644.0,yesterday,"Tomlinson Estate Management Limited, Lenton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95239/128484413/95239_191r_bi_IMG_00_0000_max_476x317.jpeg,4,house,"('52.9493892', '-1.154341976438631')",52.9493892,-1.154341976438631,,1694
6 bedroom terraced house,https://www.rightmove.co.uk/properties/128486534#/?channel=STU_LET,"Hungerton Street, Lenton, Nottingham","**STUDENT 2023/2024!** Fantastic 6 bedroom property on Hungerton Street. Perfect for UoN/Trent students.  Bills inclusive (Gas, Water, Electric, Internet & Contents Insurance through Purple Pass). 3D tour available upon request!",3848.0,888.0,yesterday,"Tomlinson Estate Management Limited, Lenton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95239/128484398/95239_185r_bi_IMG_00_0000_max_476x317.jpeg,6,house,"('52.9459921', '-1.1728172')",52.9459921,-1.1728172,,1694
6 bedroom detached house,https://www.rightmove.co.uk/properties/128486534#/?channel=STU_LET,"Church Avenue, Lenton, Nottingham","**STUDENT 2022/2023!** Marvellous 6 bedroom student property now available in the Lenton area.  Bills inclusive (gas, water, electricity, broadband & contents insurance through Purple Pass). 3D tour available upon request!",4030.0,930.0,yesterday,"Tomlinson Estate Management Limited, Lenton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95239/128484386/95239_184r_bi_IMG_00_0000_max_476x317.jpeg,6,house,"('52.9481222', '-1.1751783')",52.9481222,-1.1751783,,1694
5 bedroom detached house,https://www.rightmove.co.uk/properties/128486483#/?channel=STU_LET,"Loughborough Road, West Bridgford, Nottingham","***MUST VIEW STUDENT 2023-2024 PROPERTY*** A spacious 5 bedroom detached student house situated in the sought after area of West Bridgford. The property has multiple stand out features including 3 bathrooms, conservatory, off road parking and two sitting areas. ",2600.0,600.0,yesterday,"Tristrams Student Lettings, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250334/128483996/250334_101457004842_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9363117', '-1.1342467')",52.9363117,-1.1342467,,1694
