title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Light industrial for sale,https://www.rightmove.co.uk/properties/85599069#/?channel=COM_BUY,"Manufacturing, North of England, North of England","MANUFACTURER OF MODEL RAILWAYS
Showing Net Profits Adjusted in Excess of £150,000
Old established business
Spacious engineering works
Impressive range of engineering equipment
Annual Turnover £1.2 Million
REF 587305
Business £400,000
North of England",400000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/123698138/153122_587305_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
4 bedroom retail property (out of town) for sale,https://www.rightmove.co.uk/properties/124485362#/?channel=COM_BUY,"Otley Road, Leeds, West Yorkshire, LS16",275 OTLEY ROADLEEDSLS16 5LN FREEHOLD VACANT SHOP & FLAT ,400000.0,551,,"Tapp Chartered Surveyors, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78372/84017403/78372_275OR_IMG_00_0000_max_476x317.jpeg,4,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Retail property (high street) for sale,https://www.rightmove.co.uk/properties/124485362#/?channel=COM_BUY,"32 Town Street, Horsforth, Leeds","The property comprises a modern two-storey retail unit. It provides an open plan area at ground floor that has been divided up to provide a banking hall, several offices and strong room, whilst at first floor there is a large office, staff room, stores (potential further offices) and toilets.",400000.0,2238,,"Walker Singleton (Commercial), Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211115/123575990/211115_103463_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Restaurant for sale,https://www.rightmove.co.uk/properties/85600275#/?channel=COM_BUY,Leeds,"Long standing restaurant in good decorative order throughout, been trading over ten years.Open 7 days a week from 11.30amHighly profitable.Turnover in excess of £1,300,000 per annumThe business premise is held on a lease and will be assigned to the new business owner.",375000.0,,,"Parker Barras, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81615/124665629/81615_Business_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Bar / nightclub for sale,https://www.rightmove.co.uk/properties/124485362#/?channel=COM_BUY,"Lowtown, Pudsey, West Yorkshire, LS28",Bojangles is a well-established popular bar in the busy suburb of LeedsEstablished in 2004 this is a much-loved bar at the heart of the Pudsey's late-night sceneBojangles is the largest venue in Pudsey for live music events and private hire,1000000.0,,,"Nationwide Business Sales LTD, Castleford",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/241k/240671/124485362/240671_bojangles_IMG_02_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Restaurant for sale,https://www.rightmove.co.uk/properties/124485362#/?channel=COM_BUY,Leeds,"Long standing restaurant in good decorative order throughout, been trading over ten years.Open 7 days a week from 11.30amHighly profitable.Turnover in excess of £1,300,000 per annumThe business premise is held on a lease and will be assigned to the new business owner.",375000.0,,,"Parker Barras, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81615/124665629/81615_Business_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Restaurant for sale,https://www.rightmove.co.uk/properties/124665629#/?channel=COM_BUY,"Red Chilli Restaurant, Great George Street, Leeds, West Yorkshire, LS1","BUSINESS FOR SALE- Popular Traditional, Authentic Chinese Restaurant. Premises available on lease, fitted with modern & valuable fixtures, fittings & equipment. Prime trading position in the centre of Leeds, ran from an excellent premises. Full details available on application. ",375000.0,,,"Alan J Picken, Ilkley",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/123195527/230060_Z10385_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Warehouse for sale,https://www.rightmove.co.uk/properties/124665629#/?channel=COM_BUY,"St Mary's Works, Middleton Road, Morley, Leeds, West Yorkshire, LS27 8AP","Former chapel currently used as a workshop suitable for residential redevelopment.
Situated close to the centre of Morley with good access.",,4414,,"Eddisons Commercial Limited, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236921/107097230/236921_3001165FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/123195527#/?channel=COM_BUY,"Building/Home Improvement, Morley, West Yorkshire","KITCHEN AND BEDROOM SHOWROOM Showing Approximately £200,000 Adjusted Net Profit
Worked in Very Easy Hours Over Five Days
Retirement Sale After 30 Years Here
VIEW EARLY, THIS WILL GO
Annual Turnover £878,003
REF 586908. EPC Band C.
Business £350,000
Leeds
",350000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/115497077/153122_586908_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/123195527#/?channel=COM_BUY,"Garden Centre & Horticulture, Horsforth, West Yorkshire","GARDEN CENTRE WITH COFFEE SHOP AND FULLY LICENSED BAR
Almost 5 Acres Of Fully Stocked Grounds
Showing Exceptional Net Profits
Popular Coffee Shop With Alcohol Licence
One Of The UK’s Top Independently Owned Centres
Weekly Turnover £20,000
REF 559183. EPC Band D
Business £300,000
Leeds",300000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/63047794/153122_559183_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
