title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Hairdresser / barber shop for sale,https://www.rightmove.co.uk/properties/110594627#/?channel=COM_BUY,"Glasgow, , G31",Reputable Barbers For Sale,39999.0,,,"Hilton Smythe, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150767/117447893/150767_B06624_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Bar / nightclub for sale,https://www.rightmove.co.uk/properties/110594627#/?channel=COM_BUY,"The Tower Bar, 8 Possil Road, Glasgow, G4 9SY",Long Leasehold. Prominent Trading Location. Well presented wet led pub. Large private courtyard. Outside seating area. Long lease with low rent,35000.0,,,"Christie & Co, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163142/123925589/163142_6854027-lh_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Convenience store for sale,https://www.rightmove.co.uk/properties/128513537#/?channel=COM_BUY,"Spar, 10 Douglas Street, Milngavie, G62 6PB","Leasehold. Advised weekly wales of £10,500. High footfall location. Recent full refit. PayPoint, Lottery and Scratchcards. Christie Finance Available, Subject to Status",35000.0,,,"Christie & Co, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163142/85768419/163142_6811080-lh_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Cafe for sale,https://www.rightmove.co.uk/properties/128513537#/?channel=COM_BUY," Glasgow, , G4",Well established Cafe business for sale,24995.0,,,"Hilton Smythe, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150767/116211107/150767_B06561_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Shop for sale,https://www.rightmove.co.uk/properties/113917319#/?channel=COM_BUY,"Glasgow,  Glasgow, Scotland, G45",Performing Specialist Cake Making Business,19995.0,,,"Hilton Smythe, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150767/81048303/150767_B04877_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Convenience store for sale,https://www.rightmove.co.uk/properties/113917319#/?channel=COM_BUY,"3, Cambuslang Gate, Glasgow","Cambuslang is approximately 5 miles south east of Glasgow City Centre. It has a resident population of over 22,000 and an estimated catchment of 300,000 within a fifteen-minute drive time.Cambuslang Gate is a major mixed commercial and residential development on the principle retail pitch of Main...",17500.0,1786,,"LCP, Scotland",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238652/110504954/238652_2836_193_IMG_00_0002_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Garage for sale,https://www.rightmove.co.uk/properties/122895476#/?channel=COM_BUY,"Garage Premises at 176F Waverley, East Kilbride, Glasgow, Lanarkshire, G74 3PD","FOR SALE BY ONLINE AUCTION THURSDAY 3RD NOVEMBER AT 9.00AM. Self contained garage premises in residential area of East Kilbride. Estimated rental value in region of £1,500 per annum, providing a yield of 21.4% at Guide Price; excellent storage or investment opportunity.",7000.0,,,"Online Property Auctions Scotland Limited, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236495/127947131/236495_187845_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Convenience store for sale,https://www.rightmove.co.uk/properties/122895476#/?channel=COM_BUY,"2, Cambuslang Gate, Glasgow","Cambuslang is approximately 5 miles south east of Glasgow City Centre. It has a resident population of over 22,000 and an estimated catchment of 300,000 within a fifteen-minute drive time.Cambuslang Gate is a major mixed commercial and residential development on the principle retail pitch of Main...",,1775,,"LCP, Scotland",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238652/117926636/238652_2695_193_IMG_00_0001_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Retail property (high street) for sale,https://www.rightmove.co.uk/properties/85867320#/?channel=COM_BUY,"328 Argyle Street, Glasgow G2 8LY","Retail premises for sale, with consideration given to let, in Glasgow's International Financial Services District. The property, which currently benefits from Class 1 retail use, is arranged over ground, mezzanine and lower
ground floors and benefits from a significant café fit out. The ground fl...",,3037,,"Avison Young (UK) Limited, Scotland Agency",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234002/85867320/234002_110750FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Office for sale,https://www.rightmove.co.uk/properties/85867320#/?channel=COM_BUY,"Albert Chambers, 5th Floor, 13 Bath Street, Glasgow, G2 1HY","Rare opportunity to purchase an entire 5th floor office suite in Glasgow City Centre. The premises offers a combination of open plan and cellular accommodation. The suite benefits from two entry points and so has potential to be subdivision. The suite features a number of self-contained offices, ...",,5940,,"Avison Young (UK) Limited, Scotland Agency",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234002/124399685/234002_15351FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
