title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Land for sale,https://www.rightmove.co.uk/properties/127258484#/?channel=COM_BUY,"House & Two Plots, Smithfield, Pity Me, Durham, DH1",OFFERS INVITED Bradley hall are delighted to offer for sale this delightful detached 4 bedroom residential house with the benefit of 2 exceptional building plots with planning permission for a further detached house and situated within this highly desirable residential area. ,,,,"Bradley Hall Chartered Surveyors & Estate Agents, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45311/126567326/45311_DRH220180_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Commercial property for sale,https://www.rightmove.co.uk/properties/127258484#/?channel=COM_BUY,"Maynards Row, Durham City","A rare opportunity to acquire a substantial DH1 property with a variety of options for redevelopment. Prominently positioned, within 1 mile of Durham City Centre, this is an ideal investment opportunity. Internal inspection in essential. Viewing by appointment only.",300000.0,,,"Stuart Edwards, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41828/118588946/41828_102045011476_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Commercial property for sale,https://www.rightmove.co.uk/properties/122257010#/?channel=COM_BUY,"The Elms at Kimblesworth, Elm Crescent, Kimblesworth","Former nursing home with development potential in village location. Site area circa 0.582 acres (0.235 hectares). Suitable for a variety of uses (stpp). 19 bedroom former nursing home with vacant possession, situated within County Durham village of Kimblesworth. Well presented property. Residenti...",275000.0,,,"Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/125982548/63935_9899730_IMG_09_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Commercial property for sale,https://www.rightmove.co.uk/properties/122257010#/?channel=COM_BUY,"Salon & Beauty Business, Durham Area ","Unisex hair salon & beauty. Substantial three storey property. Floor area 198 sq. m. (2,141 sq. ft.). Beautifully presented. Turnover £301,278 (2019). Excellent passing trade. 10 cutting stations & 5 backwash. Genuine retirement sale. Long established business. Website and social media ...",250000.0,,,"Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/119257796/63935_8359911_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/122296406#/?channel=COM_BUY,"Land Rear Of John Street South, Meadowfield, DH7","LOCATION The subject site is located in the popular village of Meadowfield, located to the south east of John Street South. The surrounding land uses comprise a mixture of residential properties and a church to the north. To the north east, east and south east lies commercial uses inc...",150000.0,,,"Bradley Hall Chartered Surveyors & Estate Agents, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45311/116899529/45311_GSF210239_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/122296406#/?channel=COM_BUY,"Land Rear Of John Street South, Meadowfield, DH7","LOCATION The subject site is located in the popular village of Meadowfield, located to the south east of John Street South. The surrounding land uses comprise a mixture of residential properties and a church to the north. To the north east, east and south east lies commercial uses including ...",145000.0,,,"Bradley Hall Chartered Surveyors & Estate Agents, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45311/116899442/45311_GSF210237_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/127458962#/?channel=COM_BUY,"Land Rear Of John Street South, DH7, Meadowfield, DH7","LOCATION The subject site is located in the popular village of Meadowfield, located to the south east of John Street South. The surrounding land uses comprise a mixture of residential properties and a church to the north. To the north east, east and south east lies commercial uses including...",145000.0,,,"Bradley Hall Chartered Surveyors & Estate Agents, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45311/116899583/45311_GSF210240_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/127458962#/?channel=COM_BUY,"Land Rear Of John Street South, Meadowfield, DH7","LOCATION The subject site is located in the popular village of Meadowfield, located to the south east of John Street South. The surrounding land uses comprise a mixture of residential properties and a church to the north. To the north east, east and south east lies commercial uses including...",100000.0,,,"Bradley Hall Chartered Surveyors & Estate Agents, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45311/116899310/45311_GSF210236_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Commercial property for sale,https://www.rightmove.co.uk/properties/110609642#/?channel=COM_BUY,"Marshall Terrace, Gilesgate",Opportunity to acquire a multi use business premises close to Durham City. In recent times the unit has been used for a highly successful cycling business with a large local customer base. ,100000.0,,,"Stuart Edwards, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41828/102895199/41828_102045011270_IMG_08_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/110609642#/?channel=COM_BUY,"Grinstead Way, Durham, Durham, DH1",This is a superb development opportunity to buy land with outline planning permission granted for a two bedroom detached bungalow with off road parking. Situated within an area of similar housing in the highly respected Belmont area of Durham...,100000.0,,,"YOUR MOVE Chris Stonock, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83353/122267090/83353_QDR220119_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/123386279#/?channel=COM_BUY,"Land Rear Of John Street South, Meadowfield, DH7","OPPORTUNITY Bradley Hall are delighted to offer an opportunity to purchase a choice of 6 exclusive development plots that all benefit from being fully serviced. LOCATION & DESCRIPTION The subject site is located to the south east of John Street South, Meadowfield, Durha...",,,,"Bradley Hall Chartered Surveyors & Estate Agents, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45311/81041517/45311_DRH210122_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/123386279#/?channel=COM_BUY,"Land Rear Of John Street South, Meadowfield, DH7","LOCATION The subject site is located in the popular village of Meadowfield, located to the south east of John Street South. The surrounding land uses comprise a mixture of residential properties and a church to the north. To the north east, east and south east lies commercial uses including...",100000.0,,,"Bradley Hall Chartered Surveyors & Estate Agents, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45311/116899658/45311_GSF210242_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Shop for sale,https://www.rightmove.co.uk/properties/127073801#/?channel=COM_BUY,"North Road, Durham, DH1","LOCATION The subject property is situated on North Road which a busy pedestrianised shopping area with neighbouring occupiers including Coral, British Heart Foundation, Boots and Iceland. The property is close by to Framwellgate Bridge leading to Silver St, Market Place and Saddler Street wi...",98000.0,,,"Bradley Hall Chartered Surveyors & Estate Agents, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45311/127073801/45311_DRH220173_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/127073801#/?channel=COM_BUY,"Front Street, Sherburn Village, Durham, DH6","Exceptional Opportunity for Builders, Developers or Investors. This sizeable plot of freehold land is immediately available with outline planning permission for two properties with garaging. The land has been fully prepared with groundworks, drainage, and services provided.",89950.0,,,"YOUR MOVE Chris Stonock, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83353/120860909/83353_QDR190003_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/120860909#/?channel=COM_BUY,"John Street North, Meadowfield, Durham, DH7",Building Plot available with outline planning permission having been granted. Outline planning permission has been obtained for the erection of a single dwelling on the site outline permission was granted for approximately a 116 square metre dwelling. Further information ...,60000.0,,,"J W Wood, Durham City",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36036/125051288/36036_DUR220571_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Commercial property for sale,https://www.rightmove.co.uk/properties/120860909#/?channel=COM_BUY,"Jane's Kitchen, 7 John Street North, Meadowfield","Business for sale. Sandwich shop/deli on main road. Turnover circa £2,000 per week. Rent £10,800 per annum. Immaculately presented business in quaint Durham area. Excellent reputation. Fully equipped for trade with new equipment. Undergone recent deep clean and some refurbishment. Sh...",19950.0,,,"Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/120973247/63935_11315196_IMG_00_0001_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
