title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128453756#/?channel=STU_LET,"Rose Green Road, St George East, Bristol, BS5","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
Stunning cottage style home which features five spacious double bedrooms. This stunning property would suit a group of students or professionals looking for a modern and stylish home.",3620.0,835.0,yesterday,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128453702/76425_P5230_IMG_00_0000_max_476x317.jpeg,5,house,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
5 bedroom flat,https://www.rightmove.co.uk/properties/128453759#/?channel=STU_LET,"Filton Avenue, Horfield, Bristol, BS7","** AVAILABLE 23/24 ACADEMIC YEAR. AT SANDSTONE WE OFFER VIRTUAL VIEWINGS VIA ZOOM!**
‘Stunning 5-bedroom property offers modern and stylish home. Offered fully furnished in the heart of Horfield. Perfect for Students/Professionals. ",3750.0,865.0,yesterday,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128453705/76425_P5243_IMG_00_0000_max_476x317.jpeg,5,flat,"('51.489455', '-2.5802162')",51.489455,-2.5802162,,146
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128453759#/?channel=STU_LET,"Greystoke Avenue, Southmead, Bristol, BS10","**AVAILABLE ACADEMIC YEAR 23/24** This stunning property comprises of five spacious double bedrooms, with two bathrooms and would make a modern and stylish home for many types of residents.",3525.0,813.0,yesterday,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128453708/76425_P5326_IMG_00_0000_max_476x317.jpeg,5,house,"('51.5028156', '-2.6024943')",51.5028156,-2.6024943,,146
1 bedroom apartment,https://www.rightmove.co.uk/properties/128453762#/?channel=STU_LET,"St Pauls Road,, Clifton, Bristol, BS8","PROFESSIONALS -A large, one bedroom flat located just off Whiteladies Road with shops, bars, restaurants and a cinema close to hand. There is also regular bus route to and from the city centre, although the flat is only a 25 minute walk from the Centre of Bristol. There is an open plan lounge/fi...",1400.0,323.0,yesterday,"Digs, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92452/128453108/92452_BRI220049_L_IMG_00_0000_max_476x317.jpeg,1,apartment,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
2 bedroom apartment,https://www.rightmove.co.uk/properties/128453762#/?channel=STU_LET,"Alma Road,Clifton","Berkeley Estates & Management are pleased to offer for rent this light spacious 2 bed garden flat, conveniently situated moments away from the shops and restaurants of Whiteladies Road and within close proximity of Clifton Down Train Station. ",1300.0,300.0,26/10/2022,"Berkeley Estates and Management, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47439/85810529/47439_102083000117_IMG_01_0000_max_476x317.jpg,2,apartment,"('51.4622238', '-2.6129859')",51.4622238,-2.6129859,,146
1 bedroom apartment,https://www.rightmove.co.uk/properties/128453717#/?channel=STU_LET,"The Bank, Bushy Park, Bristol",Berkeley Estates & Management are pleased to offer this modern one bedroom apartment situated within extremely close proximity of Temple Meads Train Station. The apartment is part of a recent renovation of the old LLoyds Bank Building. Tastefully restored to modern living with neutral decor a...,950.0,219.0,26/10/2022,"Berkeley Estates and Management, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47439/128438111/47439_102083000985_IMG_00_0000_max_476x317.jpeg,1,apartment,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
4 bedroom detached house,https://www.rightmove.co.uk/properties/128453717#/?channel=STU_LET,"Heathfields, Bromley Heath ","Well presented, detached family home situated in the sought after Downend area of Bristol. Property comprises, entrance hall, WC, lounge, dining room, kitchen, utility area, four bedrooms, bathroom and en-suite. Further benefits include gas central heating, double glazing, garden, garage and park...",1800.0,415.0,26/10/2022,"Intire, Downend",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41070/128437442/41070_100760001035_IMG_00_0000_max_476x317.jpeg,4,house,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128453720#/?channel=STU_LET,"Greenbank Road, Easton",Berkeley Estates & Management are pleased to market this four bedroom HMO property to let. Recently renovated throughout to a high standard delivering an attractive furnished mid terrace house. Well situated in the popular Rose Green Road close to cycle track offering easy access to City Centre.,2400.0,554.0,26/10/2022,"Berkeley Estates and Management, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47439/128340125/47439_102083001415_IMG_00_0000_max_476x317.jpeg,4,house,"('51.4682844', '-2.554176')",51.4682844,-2.554176,,146
4 bedroom flat,https://www.rightmove.co.uk/properties/128453720#/?channel=STU_LET,"Ashdene Avenue, Eastville, Bristol, BS5","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
AT SANDSTONE WE OFFER VIRTUAL VIEWINGS VIA ZOOM!
Four bedroom recently renovated home offered fully furnished with private garden. Ideally located in Eastville, perfect for students and professionals alike.",3000.0,692.0,26/10/2022,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128410232/76425_P6808_IMG_00_0000_max_476x317.jpeg,4,flat,"('51.4755288', '-2.5494154')",51.4755288,-2.5494154,,146
4 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128453723#/?channel=STU_LET,"Berry Lane, Horfield, Bristol, BS7","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
AT SANDSTONE WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.
Mid-terrace four bedroom property newly renovated and offered fully furnished with private garden. Enquire today!",2940.0,678.0,26/10/2022,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128410235/76425_P6845_IMG_00_0000_max_476x317.jpeg,4,house,"('51.4897804', '-2.5780579')",51.4897804,-2.5780579,,146
