title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
4 bedroom apartment,https://www.rightmove.co.uk/properties/85502771#/?channel=STU_LET,"Richmond Road, Hyde Park, Leeds, LS6 1BX","DELUXE BILLS INCLUDED!! SUPERFAST 350MB BROADBAND, GREEN GAS & ELECTRICITY, WATER, TV LICENSE, CONTENTS INSURANCE, GARDENING AND MORE! Stunning four bedroom penthouse! Located on the Hyde Park/Headingley border this property is fabulously located whether you`re studying in Headingley or the City ...",2444.0,564.0,26/10/2022,"Sugarhouse Properties, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76942/128446451/76942_31900349_IMG_00_0000_max_476x317.jpeg,4,apartment,"('53.8166159', '-1.5717257')",53.8166159,-1.5717257,,2606
Studio flat,https://www.rightmove.co.uk/properties/85936599#/?channel=STU_LET,"BILLS INCLUDED - The Pavilion, Headingley","*** Premier Luxe Studio - £850 PCM*** ALL BILLS INCLUDED! Premier Luxe Studio! Located on the second floor of this purpose build, modern development, including Electric, Water and Broadband. Ideally located for access to the Universities and City Centre ideal for Students. Fully furnished ! **A...",850.0,196.0,01/11/2022,"HOP, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/152k/151778/85936599/151778_10157646_IMG_00_0000_max_476x317.jpeg,studio,flat,"('53.7974185', '-1.5437941')",53.7974185,-1.5437941,,2606
5 bedroom terraced house,https://www.rightmove.co.uk/properties/85936599#/?channel=STU_LET,"Delph Mount, Woodhouse, Leeds",Amazing modern and spacious 5 bedroom property with ** 2 bathrooms ** close to Hyde Park Corner! ** Available from 01/07/2023 - £101.00 PPPW,2188.0,505.0,26/10/2022,"Haus Sales & Lettings, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/87k/86086/128400557/86086_2107r_IMG_00_0000_max_476x317.jpeg,5,house,"('53.8156835', '-1.5572221')",53.8156835,-1.5572221,,2606
4 bedroom apartment,https://www.rightmove.co.uk/properties/128400557#/?channel=STU_LET,"Richmond Road, Hyde Park, Leeds, LS6 1BX","DELUXE BILLS INCLUDED!! SUPERFAST 350MB BROADBAND, GREEN GAS & ELECTRICITY, WATER, TV LICENSE, CONTENTS INSURANCE, GARDENING AND MORE! This stunning penthouse apartment is perfectly located for the sociable group, having both Headingley and Hyde Park just minutes from your front door! The top flo...",2357.0,544.0,26/10/2022,"Sugarhouse Properties, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76942/128446124/76942_31900330_IMG_00_0000_max_476x317.jpeg,4,apartment,"('53.8166159', '-1.5717257')",53.8166159,-1.5717257,,2606
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128400557#/?channel=STU_LET,"Trelawn Place, Headingley, Leeds",** NEW REFURBISHMENT ** 5 BED ** 2 BATH ** STUNNING PROPERTY **OPEN PLAN LIVING AREA ** CENTRAL HEADINGLEY ** AVAILABLE FOR £109.00 PPPW FROM 01/07/2023 !**,2362.0,545.0,26/10/2022,"Haus Sales & Lettings, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/87k/86086/128444306/86086_8293r_IMG_00_0000_max_476x317.jpeg,5,house,"('53.8209896', '-1.5822104')",53.8209896,-1.5822104,,2606
4 bedroom end of terrace house,https://www.rightmove.co.uk/properties/128446124#/?channel=STU_LET,"Harold Grove, Leeds","*** RENT £99 ppp/wk - Available 1st July 2023, 4 Bed, 2 Bath. ***
- Holding Fee is equivalent of 1 weeks rent per tenant.  ",1716.0,396.0,26/10/2022,"HOP, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/152k/151778/128443457/151778_10197232_IMG_00_0000_max_476x317.jpeg,4,house,"('53.8088922', '-1.572098')",53.8088922,-1.572098,,2606
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128446124#/?channel=STU_LET,"Burchett Terrace, Woodhouse","*** RENT £98 ppp/wk - Available 1st July 2023, 4 Bed, 1 Bath. ***
 - Holding Fee is equivalent of 1 weeks rent per tenant. ",1698.0,392.0,26/10/2022,"HOP, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/152k/151778/128442428/151778_10157989_IMG_00_0000_max_476x317.jpeg,4,house,"('53.817046', '-1.5533568')",53.817046,-1.5533568,,2606
10 bedroom terraced house,https://www.rightmove.co.uk/properties/128444306#/?channel=STU_LET,Regent Park Avenue,"- HUGE 10 BED PROPERTY - Available 1st July 2023 - £99pppw excluding bills Avtar Properties are proud to present this large 10 bedroom property which is situated in a popular student location, just off of Hyde Park corner and in walking distance to both Headingley and the city centre! The prope...",4290.0,990.0,26/10/2022,"Avtar Properties, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/87k/86803/128441873/86803_2626913_IMG_00_0000_max_476x317.jpeg,10,house,"('53.8155958', '-1.5620055')",53.8155958,-1.5620055,,2606
12 bedroom terraced house,https://www.rightmove.co.uk/properties/128444306#/?channel=STU_LET,"Grosvenor Road, Hyde Park","- AVAILABLE FOR £128 PPPW BILLS INCLUDED - -- AVAILABLE FROM 01/07/2023! -- Avtar Properties are proud to present this huge and modern 12 bedroom house. Located near to Hyde Park Corner in Hyde Park, and within a short walk of the University Campus. The bedrooms are all equal in size, and all a...",6660.0,1537.0,26/10/2022,"Avtar Properties, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/87k/86803/128441540/86803_2626927_IMG_00_0000_max_476x317.jpeg,12,house,"('53.8173959', '-1.5634518')",53.8173959,-1.5634518,,2606
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128443457#/?channel=STU_LET,"St. Annes Road, Headingley","*** RENT £81 ppp/wk - Available 1st July 2023, 5 Bed, 2 Bath. ***
 ",1755.0,405.0,26/10/2022,"HOP, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/152k/151778/128441381/151778_10156999_IMG_00_0000_max_476x317.jpeg,5,house,"('53.7974185', '-1.5437941')",53.7974185,-1.5437941,,2606
