title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
4 bedroom town house,https://www.rightmove.co.uk/properties/128599070#/?channel=STU_LET,"Dornton Road, Balham, SW12","Davis and Gibbs pleased to bring to the market, this large four double bedroom house situated in the sought after location of Balham. The property is a must see for any group of sharers as it is within walking distance to a Northern Line Tube station. Decorated with neutral colours throughout, yo...",3198.0,738.0,31/10/2022,"Davis & Gibbs Ltd, Balham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90230/128599070/90230_25523577_IMG_01_0000_max_476x317.jpeg,4,house,"('51.4389528', '-0.1453618')",51.4389528,-0.1453618,,546
2 bedroom flat,https://www.rightmove.co.uk/properties/128599070#/?channel=STU_LET,Garratt Lane London SW18,A glorious two double bedroom two bathroom apartment to rent in one of the most popular sought after developments in Earlsfield. This property is finished to a fantastic high standard.,1900.0,438.0,today,"Kinleigh Folkard & Hayward - Lettings, Earlsfield",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58003/128693462/58003_P208503_IMG_00_0000_max_476x317.jpeg,2,flat,"('51.5073219', '-0.1276474')",51.5073219,-0.1276474,,546
2 bedroom apartment,https://www.rightmove.co.uk/properties/128693462#/?channel=STU_LET,"Queenstown Place, Queenstown Road, Battersea, SW8 "," Situated on the popular Queenstown Road in Battersea sits this impressive two bedroom apartment which is only moments away from Queenstown Road station (National rail), Wandworth Road (Overground and National rail), Clapham Junction (Overground, National rail) and local amenities. This proper...",1875.0,433.0,today,"L&Q, Lettings",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102784/128693195/102784_11765299_IMG_01_0000_max_476x317.jpeg,2,apartment,"('51.5073219', '-0.1276474')",51.5073219,-0.1276474,,546
Terraced house,https://www.rightmove.co.uk/properties/128693462#/?channel=STU_LET,"Elvaston Place, South Kensington, London, SW7","ALL BILLS INCLUDED IN THE RENT. A raised ground floor studio flat comprising studio room with single bed, kitchen and shower room. Benefiting from wood flooring and neutral decoration throughout. Ideally positioned for South Kensington. ",1842.0,425.0,today,"Chestertons Estate Agents, South Kensington Lettings",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/44k/43428/128691992/43428_FCL120243_L_IMG_00_0000_max_476x317.jpeg,nan,house,"('51.4978886', '-0.1803866')",51.4978886,-0.1803866,,546
1 bedroom apartment,https://www.rightmove.co.uk/properties/128693195#/?channel=STU_LET,"Landmark Pinnacle, E14","ZERO DEPOSIT AVAILABLE. Harvey W James is pleased to present this srunning 1 bedroom, 1 bathroom with your own winter garden set on the 23rd Floor within this exclusive development in Landmark Pinnacle, E14. Just moments from Canary Wharf Station. For Room Measurements please see full description",2994.0,691.0,today,"Harvey W James, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223658/128691773/223658_7351_IMG_00_0000_max_476x317.jpeg,1,apartment,"('51.5027149', '-0.025480176044282127')",51.5027149,-0.025480176044282127,,546
1 bedroom apartment,https://www.rightmove.co.uk/properties/128693195#/?channel=STU_LET,"West End Lane, London, NW6",A bright and spacious one bedroom apartment in this sought after mansion block in West Hampstead.,1733.0,400.0,today,"Jaffe Properties LTD, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76282/128560919/76282_25516254_IMG_00_0000_max_476x317.jpeg,1,apartment,"('51.5073219', '-0.1276474')",51.5073219,-0.1276474,,546
Studio flat,https://www.rightmove.co.uk/properties/128691992#/?channel=STU_LET,Sugar House Lane Sugar House Island E15,"All homes at Sugar House Island boast either canal or courtyard views and come with additional basement storage and concierge assistance, seven days a week. Many homes have access to private outdoor space, roof terraces and beautiful residents’ gardens. With an on-site convenience store, bar, caf...",1950.0,450.0,today,"JLL, Stratford",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212408/128690789/212408_P124400_IMG_00_0000_max_476x317.jpeg,studio,flat,"('51.5073219', '-0.1276474')",51.5073219,-0.1276474,,546
2 bedroom flat,https://www.rightmove.co.uk/properties/128691992#/?channel=STU_LET,"Red Lion Street, Holborn, WC1R","This two-bedroom one-bathroom apartment offers bright and refurbished interiors with wooden floors throughout. The apartment boasts two good sized double bedrooms, a separate study area, a sleek separate fully fitted, eat-in kitchen and a modern bathroom. The property is situated in the heart...",2145.0,495.0,today,"Tafaders, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205619/128690618/205619_TAFD_002876_IMG_00_0000_max_476x317.jpeg,2,flat,"('51.5073219', '-0.1276474')",51.5073219,-0.1276474,,546
2 bedroom flat,https://www.rightmove.co.uk/properties/128691773#/?channel=STU_LET,"Danestone Court, 36 Commercial Road, London, E1","This stylish 2 double bedroom apartment is situated in the popular Aldgate area of East London. The apartment comprises wooden flooring to bright open-plan reception room and kitchen with white emulsion walls. The kitchen is fitted to a high standard with high spec. integrated appliances, brus...",3000.0,692.0,today,"John D Wood & Co, Docklands & City, Docklands & City",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47285/128689769/47285_25533931_IMG_00_0000_max_476x317.jpeg,2,flat,"('51.5073219', '-0.1276474')",51.5073219,-0.1276474,""">667",546
2 bedroom flat,https://www.rightmove.co.uk/properties/128691773#/?channel=STU_LET,"Danestone Court, 36 Commercial Road, London, E1","This stylish 2 double bedroom apartment is situated in the popular Aldgate area of East London. The apartment comprises wooden flooring to bright open-plan reception room and kitchen with white emulsion walls. The kitchen is fitted to a high standard with high spec. integrated appliances, brus...",3200.0,738.0,today,"John D Wood & Co, Docklands & City, Docklands & City",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/48k/47285/128689403/47285_25533499_IMG_00_0000_max_476x317.jpeg,2,flat,"('51.5073219', '-0.1276474')",51.5073219,-0.1276474,""">667",546
