title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Land for sale,https://www.rightmove.co.uk/properties/127058180#/?channel=COM_BUY,"Red Tree Stables, Nutt Lane, Manchester",Fantastic opportunity to purchase 7 stables and land in the location of Simister Prestwich. There are seven stables and two tack rooms the land size is approx 4.16 acres. There is a tarmac track leading to the stables (supply of water and electric to the site ) This is greenbelt land we...,349995.0,,,"Melissa Berry Sales & Lettings, Prestwich",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118120/127714901/118120_11528073_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial property for sale,https://www.rightmove.co.uk/properties/127058180#/?channel=COM_BUY,"Chadwick Road, Manchester, Greater Manchester, M30","SUPERB INVESTMENT OPPORTUNITYSmart, modern self contained development of 6 letting units which currenty generates £18,000 p.a. but tremendous scope for increasing this.",300000.0,2000,,"Melissa Berry Sales & Lettings, Prestwich",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/119k/118120/104878403/118120_00010027_IMG_01_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
2 bedroom mixed use for sale,https://www.rightmove.co.uk/properties/113395190#/?channel=COM_BUY,"Platt Lane, Manchester, Greater Manchester, M14",A rare opportunity to acquire a fabulous freehold commercial unit currently utilised as a hair salon with the added benefit of a spacious two double bedroom apartment above. The property is positioned on a bustling road in one of the area’s most convenient settings for both comme...,295000.0,,,"Thornley Groves, Didsbury",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80184/127584026/80184_TGD220719_IMG_00_0000_max_476x317.jpeg,2,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial development for sale,https://www.rightmove.co.uk/properties/113395190#/?channel=COM_BUY,"Alder Road, Manchester",**GOOD SIZED COMMERCIAL PREMISES** **FREEHOLD FOR SALE** **AVAILABLE IMMEDIATELY** **DETACHED GARAGE INCLUDED** **VIEWING RECOMMENDED** **POPULAR LOCATION** Cousins are delighted to bring to the commercial market this well proportioned ground floor shop with flat above. The ground floor...,289995.0,,,"COUSINS ESTATE AGENTS, Failsworth",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/125k/124933/126974543/124933_30009036_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Shop for sale,https://www.rightmove.co.uk/properties/116251850#/?channel=COM_BUY,"Alder Road, Manchester",**GOOD SIZED COMMERCIAL PREMISES** **FREEHOLD FOR SALE** **AVAILABLE IMMEDIATELY** **DETACHED GARAGE INCLUDED** **VIEWING RECOMMENDED** **POPULAR LOCATION** Cousins are delighted to bring to the commercial market this well proportioned ground floor shop with flat above. The ground floor...,289995.0,,,"COUSINS ESTATE AGENTS, Failsworth",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/125k/124933/126974540/124933_31787362_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Retail property (high street) for sale,https://www.rightmove.co.uk/properties/116251850#/?channel=COM_BUY,"Droylsden Road, Audenshaw",***LARGE COMMERCIAL PROPERTY WITH THREE BEDROOM APARTMENT ABOVE**PARKING**SELLING DUE TO RETIREMENT*** Saltsman & Co Estate Agents are delighted to welcome to the market this unique commercial property with seperate three bedroom apartment above on a main road location opposite Metrolink stop...,289950.0,1690,,"Saltsman & co, Droylsden",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/90k/89398/123058454/89398_101225001958_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
2 bedroom mixed use for sale,https://www.rightmove.co.uk/properties/127518371#/?channel=COM_BUY,"219 Bury Old Road, Prestwich",Large sought after mixed use commercial building in a prime Prestwich location. ideally positioned opposite Heaton Park and next to the Metrolink station.,260000.0,,,"Jennie Platt, Prestwich",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108095/127962488/108095_2566_JENN_IMG_00_0000_max_476x317.jpeg,2,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial property for sale,https://www.rightmove.co.uk/properties/127518371#/?channel=COM_BUY,"Bury Old Road, Whitefield, Manchester, M45",JonSimon Commercial are delighted to bring to the market this incredible investment opportunity in North Manchester!,240000.0,,,"JonSimon Estate Agents, Radcliffe",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41082/127878707/41082_25446780_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Shop for sale,https://www.rightmove.co.uk/properties/126778658#/?channel=COM_BUY,"Burnage Lane, Manchester","***EXCELLENT RETAIL INVESTMENT PROPERTY WITH ACCOMMODATION*** Sanderson James are pleased to offer for sale this prime retail and investment property. The property is at the heart of Burnage shopping area with good foot fall and at the main traffic lights, it will be seen by everyone that passes....",225000.0,,,"Sanderson James, Levenshulme",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/73k/72863/66231694/72863_28017875_IMG_01_0000_max_476x317.jpg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Shop for sale,https://www.rightmove.co.uk/properties/126778658#/?channel=COM_BUY,"Hart Road, Fallowfield, Manchester, M14","***FULL UNIT***Proudly presenting this semi commercial retail unit and first floor 2 bed flat located in ideal location of Fallowfield, Manchester, Current rental yield over 7% ***GREAT LOCATION***Great OPPURTUNITY ***",220000.0,,,"Ryan Baker Estate Agents, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247886/128013830/247886_CS0067_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
