title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
6 bedroom house share,https://www.rightmove.co.uk/properties/128687609#/?channel=STU_LET,"Lesseps Road, Off Smithdown Road, Liverpool","Brilliant Extended 6 Bedroom 6 Ensuite Bathroom House Available July 2023! This One Is Definitely A House To View - Superb, Large Bedrooms And Large Kitchen Diner! 360 Tour On Our Website!
",542.0,125.0,yesterday,"Topproperty Services, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52188/128679320/52188_1843_IMG_00_0000_max_476x317.jpeg,6,share,"('53.4071991', '-2.99168')",53.4071991,-2.99168,,1888
6 bedroom house share,https://www.rightmove.co.uk/properties/128270255#/?channel=STU_LET,"Ling Street, Kensington, ","Stunning six bed conversion in the heart of Kensington - all bills included SIX double bedrooms available, with communal kitchen, lounge and bathrooms. The property has been extensively modernised, and has an extended modern and large fully fitted kitchen, six good (equal) sized...",498.0,115.0,yesterday,"Topproperty Services, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52188/128679287/52188_1456_IMG_00_0000_max_476x317.jpeg,6,share,"('53.4093318', '-2.9495433')",53.4093318,-2.9495433,,1888
4 bedroom house share,https://www.rightmove.co.uk/properties/128270255#/?channel=STU_LET,"Granville Road, Wavertree, Liverpool",Refurbished 4 Bed Student Home With Open Plan Living Available August 2023 Book Now To Avoid Disappointment 360 Virtual Tours On Our Website! ,498.0,115.0,yesterday,"Topproperty Services, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52188/128679284/52188_1840_IMG_00_0000_max_476x317.jpeg,4,share,"('53.396323', '-2.9375156')",53.396323,-2.9375156,,1888
5 bedroom house,https://www.rightmove.co.uk/properties/128682344#/?channel=STU_LET,17 Lidderdale Rd,"STUDENTS ONLY Great 5-bed student house located in the Student hub of Smithdown Modern open plan, kitchen ( with dish washer) living dining area equipped with a flat-screen TV with licence On street parking Close to the Brookhouse Pub Excellent Transport Links to all Universities and city ce...",477.0,110.0,yesterday,"Rooms4u, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/168k/167162/128678702/167162_d8dc5035-c8aa-4534-b6ef-cec2b56be32c_IMG_00_0000_max_476x317.jpeg,5,house,"('53.39136', '-2.9270044')",53.39136,-2.9270044,,1888
1 bedroom house share,https://www.rightmove.co.uk/properties/128682344#/?channel=STU_LET,"Hardman Street (Spare Room), L1 9AS, ",DOUBLE ROOM AVAILALBE WITHIN A 9 BED STUDENT HOUSE SHARE,563.0,130.0,yesterday,"Address Properties, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97232/128678696/97232_2522_IMG_00_0000_max_476x317.jpeg,1,share,"('53.4071991', '-2.99168')",53.4071991,-2.99168,,1888
3 bedroom house share,https://www.rightmove.co.uk/properties/128679362#/?channel=STU_LET,"Newhouse Road, Liverpool","A refurbished house with three double bedrooms. Close to local amenities and good public transport links. New furniture, wall mounted 40inch TV, electric shower, gas central heating, lovely house, inclusive of capped bills, electric, gas, internet. Available to students. LANDLORD NOT AGENT",455.0,105.0,yesterday,"Urban Sales and Lettings, National",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/70k/69212/128174807/69212_0046283_IMG_00_0000_max_476x317.jpeg,3,share,"('53.3984514', '-2.9357816')",53.3984514,-2.9357816,,1888
5 bedroom house,https://www.rightmove.co.uk/properties/128679362#/?channel=STU_LET,1 Mossley Avenue,STUDENTS ONLY Large 5 double bed house off smithdown rd close to the Brookhouse Pub. NO DEPOSIT.,520.0,120.0,yesterday,"Rooms4u, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/168k/167162/128678585/167162_aff47cc1-0984-4f43-99b2-318512ade313_IMG_00_0000_max_476x317.jpeg,5,house,"('53.3892673', '-2.9254606')",53.3892673,-2.9254606,,1888
5 bedroom house,https://www.rightmove.co.uk/properties/128679332#/?channel=STU_LET,4 North View,Great size 5 bedroom student house Perfectly located close to the new Royal Hospital. ALL BILLS. NO DEPOSIT,585.0,135.0,yesterday,"Rooms4u, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/168k/167162/128678522/167162_c50375c8-16aa-4eba-abc4-04356685260d_IMG_00_0000_max_476x317.jpeg,5,house,"('53.4070924', '-2.9576968')",53.4070924,-2.9576968,,1888
9 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128679332#/?channel=STU_LET,4a Lawrence Road,BEAUTIFUL RECENTLY REFURBISHED 9 BEDROOM 9 BATHROOM ENSUITE STUDENT HOUSE! ONLY £130 PER PERSON! ALL BILLS INCLUSIVE! SUPER FAST WIFI! ,563.0,130.0,yesterday,"BRIC Living, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243056/82875768/243056_4aLawrence_IMG_00_0000_max_476x317.jpeg,9,house,"('53.3953392', '-2.9289792')",53.3953392,-2.9289792,,1888
6 bedroom terraced house,https://www.rightmove.co.uk/properties/128679314#/?channel=STU_LET,65 Granville Road,BRAND NEW - BEAUTIFULLY REFURBISHED LUXURY 6 BED 5 BATHROOM STUDENT ENSUITE HOUSE! £145 PER WEEK ALL BILLS INCLUSIVE! ,607.0,140.0,yesterday,"BRIC Living, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243056/128676671/243056_65Gran_IMG_14_0000_max_476x317.jpeg,6,house,"('53.396323', '-2.9375156')",53.396323,-2.9375156,,1888
6 bedroom house share,https://www.rightmove.co.uk/properties/128679314#/?channel=STU_LET,56 Cardigan Street,BRAND NEW 6 BEDROOM 2 BATHROOM LUXURY STUDENT HOUSE! £125 PER PERSON PER WEEK! ALL BILLS INCLUSIVE! TVs IN ALL BEDROOMS!,542.0,125.0,yesterday,"BRIC Living, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243056/116523536/243056_ARU-367133_IMG_00_0000_max_476x317.jpeg,6,share,"('53.4002426', '-2.936485')",53.4002426,-2.936485,,1888
6 bedroom terraced house,https://www.rightmove.co.uk/properties/128679320#/?channel=STU_LET,27 Needham Road,STUNNING BRAND NEW - BEAUTIFULLY REFURBISHED LUXURY 6 BED 3 BATHROOM STUDENT HOUSE! £125 PER WEEK ALL BILLS INCLUSIVE! ,542.0,125.0,yesterday,"BRIC Living, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243056/125264357/243056_27NEED_IMG_00_0001_max_476x317.jpeg,6,house,"('53.4099843', '-2.9466687')",53.4099843,-2.9466687,,1888
7 bedroom house,https://www.rightmove.co.uk/properties/128679320#/?channel=STU_LET,47 Salisbury Road,Our beautifully recently refurbished 7 bedroom 3 full bathroom student property is perfect for students looking to stay somewhere sleek and modern during their studies! ,563.0,130.0,yesterday,"BRIC Living, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243056/116750879/243056_ARU-367094_IMG_00_0000_max_476x317.jpeg,7,house,"('53.3597899', '-2.9114036')",53.3597899,-2.9114036,,1888
6 bedroom terraced house,https://www.rightmove.co.uk/properties/128679287#/?channel=STU_LET,"113 Alderson Road, Liverpool",BEAUTIFUL RECENTLY REFURBISHED 6 BEDROOM 5 BATHROOM ENSUITE STUDENT PROPERTY! GREAT SIZE! ALL BILLS INCLUDED SUPER FAST WIFI!,563.0,130.0,yesterday,"BRIC Living, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243056/118810340/243056_113ALD_IMG_11_0000_max_476x317.jpeg,6,house,"('53.3969999', '-2.9386056')",53.3969999,-2.9386056,,1888
12 bedroom house share,https://www.rightmove.co.uk/properties/92531528#/?channel=STU_LET,"Fairfield Crescent, Liverpool, Merseyside, L6","AVAILABLE FOR 23/24! No deposit, free WiFi and an inclusive utilities package, Fairfield Crescent offers 12 spacious double bedrooms, 7 bathrooms, 2 kitchens and a huge living/dining room. All rooms are finished to the highest specification with brand new appliances throughout. From only £118 pp/pw!",511.0,118.0,26/10/2022,"The Student Co, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59787/92531528/59787_Fairfield_IMG_11_0000_max_476x317.jpg,12,share,"('53.4071991', '-2.99168')",53.4071991,-2.99168,,1888
6 bedroom house,https://www.rightmove.co.uk/properties/92531528#/?channel=STU_LET,176 Alderson Road,SLEEK AND MODERN RECENTLY REFURBISHED 6 BED 6 BATHROOM ENSUITE STUDENT HOUSE ONLY £130 PER WEEK!,563.0,130.0,yesterday,"BRIC Living, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243056/116972708/243056_ARU-367115_IMG_00_0000_max_476x317.jpeg,6,house,"('53.3969999', '-2.9386056')",53.3969999,-2.9386056,,1888
