title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128708219#/?channel=STU_LET,"Queens Park Road, Brighton",CLICK 3D TOUR LINK | MODERN DECORATION AND FURNISHINGS THROUGHOUT | GREAT LOCATION NEXT TO QUEENS PARK | CONTENTS INSURANCE INCL | BILLS INCL OPTION | THREE DOUBLES & ONE SINGLE | COAPT REF: 6701280 This charismatic townhouse is in the popular student area of Hanover. Located over the road fro...,2400.0,554.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128708123/74542_6701280_IMG_00_0000_max_476x317.jpeg,4,house,"('50.8198157', '-0.139904')",50.8198157,-0.139904,,490
3 bedroom terraced house,https://www.rightmove.co.uk/properties/128708159#/?channel=STU_LET,"Dewe Road, Brighton","CLICK LINK FOR 3D TOUR | THREE DOUBLE BEDROOMS | POPULAR STUDENT LOCATION | CLOSE TO BRIGHTON UNI | BILLS INCLUDED OPTION | COAPT REF: 6723891 This excellent three double bedroom, furnished house is in a prime location next to Brighton University. Just a ten minute walk into the centre of town...",1651.0,381.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128708063/74542_6723891_IMG_00_0000_max_476x317.jpeg,3,house,"('50.8413119', '-0.1198245')",50.8413119,-0.1198245,,490
3 bedroom terraced house,https://www.rightmove.co.uk/properties/128708159#/?channel=STU_LET,"Normanton Street, Brighton","CLICK 3D TOUR LINK | ALL DOUBLE BEDROOMS | RECENT KITCHEN AND BATHROOM RENOVATIONS | FANTASTIC CENTRAL BRIGHTON LOCATION | LOW MAINTENANCE PATIO GARDEN | BILLS INCL OPTIONS AVAILBLE | CONTENTS INSURANCE INCL | COAPT REF: 6699645 This charismatic, three double bedroom townhouse is in a popular...",1840.0,425.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128708030/74542_6699645_IMG_00_0000_max_476x317.jpeg,3,house,"('50.8328615', '-0.1243981')",50.8328615,-0.1243981,,490
3 bedroom terraced house,https://www.rightmove.co.uk/properties/128708123#/?channel=STU_LET,"Baden Road, Brighton",CLICK LINK FOR 3D TOUR | THREE DOUBLE BEDROOMS | SEPARATE STUDY SPACE | OPEN PLAN LIVING SPACE | BIG GARDEN PERFECT FOR SUMMER | BILLS INC OPTIONS AVAILABLE | ZERO DEPOSIT OPTION AVAILABLE | COAPT REF: 6700256 This brilliant 3 double bed property is situated in the bustling student area of Co...,1859.0,429.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128707997/74542_6700256_IMG_00_0000_max_476x317.jpeg,3,house,"('50.838966', '-0.1138901')",50.838966,-0.1138901,,490
3 bedroom flat,https://www.rightmove.co.uk/properties/128708123#/?channel=STU_LET,"Princes Terrace, Brighton","CLICK 3D TOUR LINK | MODERN BATHROOM | 3 DOUBLES | SPACIOUS MAISONETTE IN A CENTRAL LOCATION | 2 BATHROOMS | BILLS INCL OPTION | COAPT REF: 6723231 We are delighted to offer this excellent three double bedroom maisonette, arranged over two floors. The property is furnished and ideal for medica...",1833.0,423.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128707907/74542_6723231_IMG_00_0000_max_476x317.jpeg,3,flat,"('50.8185062', '-0.1086415')",50.8185062,-0.1086415,,490
3 bedroom terraced house,https://www.rightmove.co.uk/properties/128708063#/?channel=STU_LET,"Redvers Road, Brighton",CLICK 3D TOUR LINK | THREE DOUBLES | FLAT SCREEN TV IN EVERY ROOM | BILLS INCLUDED OPTIONS AVAILABLE | ZERO DEPOSIT OPTION | CLOSE TO MITHRAS HOUSE & MOULSECOOMB CAMPUS | CONTENTS INSURANCE INCL | COAPT REF: 6700664 This excellent three double bedroom student house is just a couple of minutes...,1866.0,431.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128707859/74542_6700664_IMG_00_0000_max_476x317.jpeg,3,house,"('50.841121', '-0.1189797')",50.841121,-0.1189797,,490
3 bedroom house of multiple occupation,https://www.rightmove.co.uk/properties/128708063#/?channel=STU_LET,"Moulsecoomb Way, Brighton",CLICK LINK TO 3D TOUR | ZERO DEPOSIT OPTION | BILLS INCLUDED OPTION | CONTENTS INSURANCE INCLUDED | EXCELLENT TRANSPORT LINKS | CLOSE TO UNIVERSITY CAMPUS | COAPT REF 6697931 Three bedroom flat situated just off Lewes road as you enter the flat you come to the first of three bedrooms on the ...,1566.0,361.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128707838/74542_6697931_IMG_00_0000_max_476x317.jpeg,3,occupation,"('50.8513613', '-0.1103493')",50.8513613,-0.1103493,,490
3 bedroom house of multiple occupation,https://www.rightmove.co.uk/properties/128708030#/?channel=STU_LET,"Inverness Road, Brighton","ALL DOUBLE BEDROOMS | SPACIOUS LIVING AREA | PRIVATE PATIO GARDEN | TEN MINUTES WALK TO CENTRAL BRIGHTON | BILLS INCL OPTIONS AVAILABLE | CONTENTS INSURANCE INCL | COAPT REF: 6699796 This three double bedroom terraced house is situated in a sought after area just off of Lewes Road, just a 10 ...",1944.0,449.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128707784/74542_6699796_IMG_00_0000_max_476x317.jpeg,3,occupation,"('50.8361056', '-0.1267764')",50.8361056,-0.1267764,,490
3 bedroom terraced house,https://www.rightmove.co.uk/properties/128708030#/?channel=STU_LET,"Toronto Terrace, Brighton","CLICK TO VIEW 3D TOUR | 3 DOUBLE BEDROOMS | PRIVATE REAR GARDEN | SEPARATE LIVING ROOM | CONTENTS INSURANCE INCLUDED | ZERO DEPOSIT OPTION | COAPT REF: 10131590 This newly renovated, quaint townhouse is in the popular student area of Hanover. With a warm and comfortable living room and functio...",1904.0,439.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128707769/74542_10131590_IMG_00_0000_max_476x317.jpeg,3,house,"('50.8272552', '-0.1265822')",50.8272552,-0.1265822,,490
3 bedroom flat,https://www.rightmove.co.uk/properties/128707997#/?channel=STU_LET,"Viaduct Road, Brighton","CLICK 3D TOUR LINK | 3 DOUBLES | GREAT DECKING AT REAR OF PROPERTY | CLOSE TO LONDON ROAD | SPACIOUS LIVING ROOM | BILLS INCL OPTIONS AVAILABLE | FLAT SCREEN IN LOUNGE AND ALL BEDROOMS | ZERO DEPOSIT OPTION | COAPT REF: 6723439 Boasting great transport links and in a sought-after location, th...",2100.0,485.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128707679/74542_6723439_IMG_00_0000_max_476x317.jpeg,3,flat,"('50.8329074', '-0.1347802')",50.8329074,-0.1347802,,490
